from_region,to_region,v1_status,v4_status,v4_normal_fare,v4_priority_fare,v4_promoted,v4_source_name,v4_source_date,v4_source_url,v4_confidence,normal_path,priority_path,providers,jne2026_values
순천,목포,DIRECT_PROVIDER,DIRECT_PROVIDER,11500,15000,False,,,,,"[""순천"", ""목포""]","[""순천"", ""목포""]","[""bustago"", ""tmoney""]","[11500, 15000]"
순천,여수,DIRECT_PROVIDER,DIRECT_PROVIDER,5000,5000,False,,,,,"[""순천"", ""여수""]","[""순천"", ""여수""]","[""tmoney""]",[5000]
순천,나주,TRANSFER_TRUSTED,TRANSFER_TRUSTED,12700,17800,False,,,,,"[""순천"", ""광주"", ""나주""]","[""순천"", ""광주"", ""나주""]","[""bustago"", ""tmoney""]",[12700]
순천,광양,DIRECT_PROVIDER,DIRECT_PROVIDER,2500,3200,False,,,,,"[""순천"", ""광양""]","[""순천"", ""광양""]","[""tmoney""]",[2500]
순천,담양,TRANSFER_TRUSTED,TRANSFER_TRUSTED,11300,13900,False,,,,,"[""순천"", ""광주"", ""담양""]","[""순천"", ""광주"", ""담양""]","[""bustago"", ""tmoney""]",[10100]
순천,곡성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9500,9500,False,,,,,"[""순천"", ""구례"", ""곡성""]","[""순천"", ""구례"", ""곡성""]","[""tmoney""]",[9400]
순천,구례,DIRECT_PROVIDER,DIRECT_PROVIDER,5200,5200,False,,,,,"[""순천"", ""구례""]","[""순천"", ""구례""]","[""tmoney""]",[5200]
순천,고흥,DIRECT_PROVIDER,DIRECT_PROVIDER,8700,11300,False,,,,,"[""순천"", ""고흥""]","[""순천"", ""고흥""]","[""bustago"", ""tmoney""]",[8700]
순천,보성,DIRECT_PROVIDER,DIRECT_PROVIDER,7900,7900,False,,,,,"[""순천"", ""보성""]","[""순천"", ""보성""]","[""tmoney""]",[7900]
순천,화순,TRANSFER_TRUSTED,TRANSFER_TRUSTED,10900,14200,False,,,,,"[""순천"", ""광주"", ""화순""]","[""순천"", ""광주"", ""화순""]","[""tmoney""]",[9700]
순천,장흥,DIRECT_PROVIDER,DIRECT_PROVIDER,11100,11100,False,,,,,"[""순천"", ""장흥""]","[""순천"", ""장흥""]","[""tmoney""]",[11100]
순천,강진,DIRECT_PROVIDER,DIRECT_PROVIDER,13500,13500,False,,,,,"[""순천"", ""강진""]","[""순천"", ""강진""]","[""tmoney""]",[13500]
순천,해남,DIRECT_PROVIDER,DIRECT_PROVIDER,16500,16500,False,,,,,"[""순천"", ""해남""]","[""순천"", ""해남""]","[""tmoney""]",[16600]
